target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1377.91	511	33.4229
F27C8.1	1940	1530.91	22	1.29514
F07C3.7	1728	1318.91	153	10.4549
F52H2.2	1739	1329.91	86	5.82802
T13A10.10a	1734	1324.91	57.6075	3.91866
T13A10.10b	1598	1188.91	6.39252	0.484582
C55C2.5a	1840	1430.91	93.9945	5.92018
C55C2.5b	1606	1196.91	4.0055	0.301606
C55C2.5c	1671	1261.91	0	0
C55C2.5d	1618	1208.91	0	0
T11F9.4a	1765	1355.91	50.2188	3.33795
T11F9.4b.1	1684	1274.91	76.7812	5.42775
T11F9.4b.2	1784	1374.91	0	0
F54D12.3	1503	1093.91	7	0.576715
F28F9.4	1452	1042.91	3	0.25925
Y53H1C.1a	2022	1612.91	107.988	6.03407
Y53H1C.1b	1958	1548.91	33.811	1.96733
C50F2.9	258	95.7506	0	0
C50F2.10	414	150.961	0	0
F54B8.5	270	99.5859	0	0
Y38H6C.22	381	137.955	0	0
T22H6.5	484	182.077	55	27.224
T22H6.7	646	277.613	87	28.2438
M79.1a	4081	3671.91	53.5879	1.31528
M79.1b	4012	3602.91	138.878	3.47394
M79.1c	3997	3587.91	17.5345	0.44045
C24F3.5a	4715	4305.91	204	4.26982
C24F3.5b	4726	4316.91	1.57683e-07	3.29197e-09
F12B6.1a	6670	6260.91	1.10988e-07	1.59766e-09
F12B6.1b	6559	6149.91	169	2.47663
Y39D8C.1	5545	5135.91	314	5.51006
Y53C10A.9	4724	4314.91	203	4.24002
AC3.3	1403	993.907	771.193	69.9296
F19G12.7	1719	1309.91	3	0.206407
F31A3.1	729	340.557	0	0
Y5H2A.3	1020	610.907	12.2303	1.80428
Y105C5A.4	1008	598.907	0	0
C03A7.7	1174	764.907	150.268	17.7052
C03A7.8	1317	907.907	485.946	48.2381
C03A7.14	1525	1115.91	1413.85	114.188
R09F10.2	1137	727.907	130.719	16.1848
F35A5.3	1271	861.907	1297	135.62
T01D1.6	1273	863.907	440	45.9018
W09B12.1.1	1984	1574.91	0	0
W09B12.1.2	2525	2115.91	61	2.59823
Y44E3A.2	1995	1585.91	4	0.227314
Y48B6A.8	2168	1758.91	21	1.07602
Y48B6A.7	1930	1520.91	3	0.177772
C42D8.5a	3282	2872.91	120.122	3.76828
C42D8.5b	1560	1150.91	81.8785	6.4117
ZK455.1	3072	2662.91	1878	63.5599
F54H12.1a	2709	2299.91	349.323	13.6886
F54H12.1b	2365	1955.91	801.194	36.9176
F54H12.1c.1	2500	2090.91	345.877	14.9084
F54H12.1c.2	2562	2152.91	161.606	6.76511
K11G12.2	1888	1478.91	24	1.46256
K11G12.7	1660	1250.91	4	0.28819
K03F8.2	1800	1390.91	1	0.0647956
ZK973.5	1666	1256.91	5	0.358518
T09A5.3	1692	1282.91	19	1.33476
ZC504.2	1758	1348.91	31	2.07121
C40C9.2	1909	1499.91	13	0.781129
R02E12.8	1680	1270.91	4	0.283655
D2092.3	1445	1035.91	39	3.39303
R01E6.4	1926	1516.91	23	1.36651
T05C12.2	1595	1185.91	5	0.379982
F25G6.4	1506	1096.91	60	4.92975
F25G6.3a	1797	1387.91	52	3.37665
F25G6.3b	2176	1766.91	0	0
F53E10.2a	1359	949.907	0	0
F53E10.2b	1616	1206.91	8	0.597393
F28F8.1	1617	1207.91	35	2.61143
C31H5.3a	1858	1448.91	6.11676e-06	3.80473e-07
C31H5.3b	1841	1431.91	6.99999	0.440582
R06A4.10a	1702	1292.91	0	0
R06A4.10b	1693	1283.91	0	0
R06A4.10c	1841	1431.91	7	0.440582
F27B3.2	1410	1000.91	0	0
F48E3.7	1435	1025.91	45	3.95319
F59B1.9	1718	1308.91	2	0.13771
T04C12.6.1	1264	854.907	0	0
T04C12.6.2	1366	956.907	730.534	68.8041
T04C12.6.3	1346	936.907	9781.35	940.905
T04C12.6.4	1277	867.907	44.066	4.57588
T04C12.5.1	1321	911.907	6633.36	655.582
T04C12.5.2	1335	925.907	911.141	88.6874
T04C12.4.1	1480	1070.91	19225.9	1618
T04C12.4.2	1564	1154.91	4548.84	354.974
T04C12.4.3	1559	1149.91	0.945627	0.0741141
M03F4.2a	1672	1262.91	38002.9	2711.99
M03F4.2b.1	1599	1189.91	0.00163743	0.000124021
M03F4.2b.2	1603	1193.91	49.9171	3.7681
M03F4.2b.3	1606	1196.91	33868.8	2550.25
M03F4.2b.4	1596	1186.91	24.0831	1.82869
M03F4.2b.5	1541	1131.91	20022.4	1594.22
M03F4.2b.6	1576	1166.91	61.5483	4.75361
M03F4.2c	1633	1223.91	0	0
T25C8.2.1	1343	933.907	243.492	23.4976
T25C8.2.2	1344	934.907	2953.84	284.749
F17C8.1	4068	3658.91	264	6.50274
C10F3.3	3343	2933.91	10	0.307183
C44F1.5	4064	3654.91	123	3.033
T01C2.1	3269	2859.91	74	2.33197
F39C12.2a	2213	1803.91	0	0
F39C12.2b	2525	2115.91	68.8154	2.93111
F39C12.2c	2428	2018.91	0	0
F39C12.2d	2049	1639.91	0	0
F39C12.2e	2611	2201.91	9.18464	0.37593
F57F5.4a.1	1990	1580.91	77.7705	4.43355
F57F5.4a.2	2032	1622.91	19.6345	1.09036
F57F5.4b	1052	642.907	89.595	12.5597
C04A11.4	3227	2817.91	140	4.4776
ZK154.7	2342	1932.91	85	3.96325
H15N14.1c	3023	2613.91	139.343	4.8044
H15N14.1d	2851	2441.91	474.812	17.5241
H15N14.1e	2794	2384.91	0.0464798	0.00175645
H15N14.1f	3119	2709.91	0	0
H15N14.1g	370	133.819	0	0
T20H4.4	1697	1287.91	444	31.0701
Y50D7A.7	1886	1476.91	936	57.1171
C02B4.1	4802	4392.91	5	0.10258
F08C6.1a.1	3788	3378.91	214.256	5.71479
F08C6.1a.2	3910	3500.91	86.0879	2.21618
F08C6.1b	1163	753.907	184.656	22.0744
F08C6.1c.1	3027	2617.91	4.81228e-06	1.65669e-07
F08C6.1c.2	3149	2739.91	3.12408e-06	1.02761e-07
D2030.10a	3221	2811.91	197.931	6.34391
D2030.10b	3222	2812.91	49.0687	1.57215
T14B1.2	1220	810.907	7	0.777984
C02H7.3a	4574	4164.91	65.8387	1.42469
C02H7.3b	4428	4018.91	11.1613	0.250295
F32A7.6	1780	1370.91	353	23.2065
Y87G2A.4	946	537.93	35	5.86389
B0334.8	3766	3356.91	899	24.1359
F32A6.4a	2137	1727.91	207	10.7968
F32A6.4b	2166	1756.91	0	0
F32A6.4c	375	135.688	0	0
Y62E10A.5a	598	245.533	47.0193	17.2588
Y62E10A.5b.1	579	233.734	0	0
Y62E10A.5b.2	574	230.713	5.98068	2.33627
F09E5.13	1231	821.907	1063	116.561
C25A1.11a	1605	1195.91	76	5.72743
C25A1.11b	1599	1189.91	0	0
C41G7.5a	1841	1431.91	0	0
C41G7.5b	1803	1393.91	4	0.258625
F58E10.4	1059	649.907	396	54.9146
K07C11.2.1	1343	933.907	1015.97	98.0436
K07C11.2.2	1421	1011.91	467.034	41.596
B0207.4	1121	711.907	313	39.6246
C25A11.4a	4737	4327.91	0.000310426	6.46433e-06
C25A11.4b	2842	2432.91	217.532	8.05827
C25A11.4c	3829	3419.91	180.263	4.75047
C25A11.4d	4614	4204.91	790.204	16.9366
C25A11.4e	3084	2674.91	9.23235e-08	3.11062e-09
D1022.7a.1	4264	3854.91	86.9853	2.03365
D1022.7a.2	4305	3895.91	22.4061	0.518323
D1022.7b.1	4279	3869.91	1443.4	33.6148
D1022.7b.2	4317	3907.91	491.204	11.3282
D1022.7c.1	1953	1543.91	0	0
D1022.7c.2	1991	1581.91	0	0
C12D8.10a	2119	1709.91	1043.01	54.9741
C12D8.10b	2134	1724.91	54.8245	2.86453
C12D8.10c	1996	1586.91	4.16954	0.236799
F28H6.1a	2002	1592.91	61.6802	3.48978
F28H6.1b	2381	1971.91	4.31985	0.197436
F48F7.1a	4587	4177.91	332.103	7.16404
F48F7.1b	4968	4558.91	35.8969	0.709643
T07D3.7a	3247	2837.91	124.743	3.96152
T07D3.7b	3156	2746.91	490.257	16.0851
F54D8.3a.1	1608	1198.91	0	0
F54D8.3a.2	1703	1293.91	1231.49	85.7768
F54D8.3b.1	1607	1197.91	0	0
F54D8.3b.2	1702	1292.91	147.241	10.2637
F54D8.3b.3	1666	1256.91	87.2688	6.25748
F54D8.3b.4	1387	977.907	120.005	11.0597
K04F1.15	1641	1231.91	1	0.0731587
F36H1.6	2866	2456.91	661	24.2469
T05H4.13a.1	1583	1173.91	62.8907	4.82833
T05H4.13a.2	1596	1186.91	9.88453	0.750556
T05H4.13b.1	1910	1500.91	912.557	54.7962
T05H4.13b.2	1923	1513.91	212.466	12.6483
T05H4.13c.1	1669	1259.91	37.5033	2.68271
T05H4.13c.2	1682	1272.91	6.69811	0.474241
T08B1.3	1379	969.907	11	1.02213
F56D12.1a.1	1840	1430.91	62.7469	3.95207
F56D12.1a.2	1936	1526.91	15.022	0.886666
F56D12.1a.3	1850	1440.91	0.0166948	0.00104421
F56D12.1b.1	1542	1132.91	8.52405	0.678102
F56D12.1b.2	1638	1228.91	1.42256	0.104327
F56D12.1b.3	1552	1142.91	0.000262655	2.07118e-05
F56D12.1c.1	1823	1413.91	0	0
F56D12.1c.2	1919	1509.91	0	0
F56D12.1c.3	1833	1423.91	0	0
F56D12.1d.1	1660	1250.91	379.245	27.3237
F56D12.1d.2	1936	1526.91	15.022	0.886666
F45H10.1a.1	1748	1338.91	85.9902	5.78819
F45H10.1a.2	1567	1157.91	0	0
F45H10.1b	872	466.962	33.1309	6.39435
F13D12.4a.1	1789	1379.91	3407.08	222.523
F13D12.4a.2	1828	1418.91	1468.38	93.267
F13D12.4a.3	1840	1430.91	606.426	38.1953
F13D12.4b	1824	1414.91	18.1181	1.15406
F01F1.6.1	1832	1422.91	1028.85	65.1656
F01F1.6.2	1952	1542.91	257.151	15.0208
C54D1.4	1656	1246.91	411	29.7065
F42G9.5a	2154	1744.91	67.8232	3.50308
F42G9.5b	1588	1178.91	292.177	22.3362
Y69F12A.2a.1	1587	1177.91	236.046	18.0604
Y69F12A.2a.2	1656	1246.91	39.8709	2.88181
Y69F12A.2b.1	1650	1240.91	80.0164	5.81144
Y69F12A.2b.2	1719	1309.91	15.0671	1.03665
C01F6.5	772	376.528	32	7.65942
F23B2.6	791	393.051	487	111.667
M18.7a.1	959	550.613	399.99	65.4705
M18.7a.2	1093	683.907	215.495	28.3978
M18.7b	1139	729.907	63.5147	7.84243
F36A4.7	6024	5614.91	2606	41.8288
C05E11.4	1728	1318.91	20	1.36666
F49E11.3	1569	1159.91	2	0.1554
M195.3	2360	1950.91	8	0.36957
