target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1377.91	433	28.2867
F27C8.1	1940	1530.91	30	1.76395
F07C3.7	1728	1318.91	166	11.3294
F52H2.2	1739	1329.91	79	5.34712
T13A10.10a	1734	1324.91	48	3.26114
T13A10.10b	1598	1188.91	0	0
C55C2.5a	1840	1430.91	112.683	7.08864
C55C2.5b	1606	1196.91	0	0
C55C2.5c	1671	1261.91	5.31662	0.379248
C55C2.5d	1618	1208.91	0	0
T11F9.4a	1765	1355.91	16.7396	1.11129
T11F9.4b.1	1684	1274.91	79.2604	5.59618
T11F9.4b.2	1784	1374.91	3.48784e-07	2.28348e-08
F54D12.3	1503	1093.91	3	0.246862
F28F9.4	1452	1042.91	0	0
Y53H1C.1a	2022	1612.91	171.924	9.59492
Y53H1C.1b	1958	1548.91	0	0
C50F2.9	258	95.7506	0	0
C50F2.10	414	150.961	0	0
F54B8.5	270	99.5859	0	0
Y38H6C.22	381	137.955	0	0
T22H6.5	484	182.077	77	38.0672
T22H6.7	646	277.613	99	32.1003
M79.1a	4081	3671.91	0	0
M79.1b	4012	3602.91	0.970971	0.0242587
M79.1c	3997	3587.91	195.029	4.89297
C24F3.5a	4715	4305.91	216	4.51547
C24F3.5b	4726	4316.91	1.02636e-07	2.14013e-09
F12B6.1a	6670	6260.91	207.732	2.98662
F12B6.1b	6559	6149.91	3.26807	0.047834
Y39D8C.1	5545	5135.91	334	5.85388
Y53C10A.9	4724	4314.91	177	3.69246
AC3.3	1403	993.907	1452.02	131.505
F19G12.7	1719	1309.91	4	0.274874
F31A3.1	729	340.557	0	0
Y5H2A.3	1020	610.907	27.3952	4.03659
Y105C5A.4	1008	598.907	0	0
C03A7.7	1174	764.907	329.944	38.8281
C03A7.8	1317	907.907	827.186	82.0117
C03A7.14	1525	1115.91	2137.26	172.402
R09F10.2	1137	727.907	140.759	17.4066
F35A5.3	1271	861.907	1639	171.172
T01D1.6	1273	863.907	620	64.601
W09B12.1.1	1984	1574.91	0	0
W09B12.1.2	2525	2115.91	58	2.46743
Y44E3A.2	1995	1585.91	10	0.567592
Y48B6A.8	2168	1758.91	21	1.07471
Y48B6A.7	1930	1520.91	1	0.059185
C42D8.5a	3282	2872.91	131.8	4.1296
C42D8.5b	1560	1150.91	58.2	4.55194
ZK455.1	3072	2662.91	1971	66.6262
F54H12.1a	2709	2299.91	340.006	13.3073
F54H12.1b	2365	1955.91	669.34	30.8044
F54H12.1c.1	2500	2090.91	532.214	22.9122
F54H12.1c.2	2562	2152.91	259.439	10.8474
K11G12.2	1888	1478.91	33	2.00857
K11G12.7	1660	1250.91	14	1.00744
K03F8.2	1800	1390.91	2	0.129433
ZK973.5	1666	1256.91	0	0
T09A5.3	1692	1282.91	16	1.12264
ZC504.2	1758	1348.91	48	3.20312
C40C9.2	1909	1499.91	7	0.420095
R02E12.8	1680	1270.91	5	0.354136
D2092.3	1445	1035.91	39	3.38889
R01E6.4	1926	1516.91	59	3.50112
T05C12.2	1595	1185.91	6	0.455423
F25G6.4	1506	1096.91	65	5.33406
F25G6.3a	1797	1387.91	37	2.39969
F25G6.3b	2176	1766.91	0	0
F53E10.2a	1359	949.907	0	0
F53E10.2b	1616	1206.91	3	0.223749
F28F8.1	1617	1207.91	49	3.65155
C31H5.3a	1858	1448.91	6.11316e-07	3.79787e-08
C31H5.3b	1841	1431.91	2	0.125727
R06A4.10a	1702	1292.91	0.00111473	7.76099e-05
R06A4.10b	1693	1283.91	7.99889	0.560803
R06A4.10c	1841	1431.91	0	0
F27B3.2	1410	1000.91	2	0.179867
F48E3.7	1435	1025.91	50	4.38709
F59B1.9	1718	1308.91	2	0.137542
T04C12.6.1	1264	854.907	0	0
T04C12.6.2	1366	956.907	944.394	88.8378
T04C12.6.3	1346	936.907	10175.3	977.604
T04C12.6.4	1277	867.907	71.4104	7.40632
T04C12.5.1	1321	911.907	6118.96	604.006
T04C12.5.2	1335	925.907	719.731	69.9708
T04C12.4.1	1480	1070.91	19126.7	1607.69
T04C12.4.2	1564	1154.91	5021.2	391.358
T04C12.4.3	1559	1149.91	0.0870309	0.00681279
M03F4.2a	1672	1262.91	42441.5	3025.06
M03F4.2b.1	1599	1189.91	143.972	10.8913
M03F4.2b.2	1603	1193.91	49.3287	3.71915
M03F4.2b.3	1606	1196.91	34778.7	2615.58
M03F4.2b.4	1596	1186.91	81.2454	6.16164
M03F4.2b.5	1541	1131.91	20867.9	1659.52
M03F4.2b.6	1576	1166.91	0.00314306	0.000242454
M03F4.2c	1633	1223.91	52.2496	3.84281
T25C8.2.1	1343	933.907	27.197	2.62139
T25C8.2.2	1344	934.907	3417.06	329.002
F17C8.1	4068	3658.91	328	8.06931
C10F3.3	3343	2933.91	13	0.398851
C44F1.5	4064	3654.91	148	3.64502
T01C2.1	3269	2859.91	70	2.20323
F39C12.2a	2213	1803.91	0	0
F39C12.2b	2525	2115.91	70	2.97794
F39C12.2c	2428	2018.91	0	0
F39C12.2d	2049	1639.91	0	0
F39C12.2e	2611	2201.91	0	0
F57F5.4a.1	1990	1580.91	26.7892	1.52534
F57F5.4a.2	2032	1622.91	48.199	2.67337
F57F5.4b	1052	642.907	109.012	15.263
C04A11.4	3227	2817.91	155	4.9513
ZK154.7	2342	1932.91	124	5.77464
H15N14.1c	3023	2613.91	165.716	5.70673
H15N14.1d	2851	2441.91	409.998	15.1135
H15N14.1e	2794	2384.91	0.533616	0.0201406
H15N14.1f	3119	2709.91	65.5872	2.17861
H15N14.1g	370	133.819	0	0
T20H4.4	1697	1287.91	474	33.129
Y50D7A.7	1886	1476.91	875	53.3297
C02B4.1	4802	4392.91	6	0.122946
F08C6.1a.1	3788	3378.91	154.296	4.11047
F08C6.1a.2	3910	3500.91	229.567	5.9026
F08C6.1b	1163	753.907	205.137	24.4929
F08C6.1c.1	3027	2617.91	7.95509e-05	2.7353e-06
F08C6.1c.2	3149	2739.91	0.000250835	8.24076e-06
D2030.10a	3221	2811.91	196.438	6.28839
D2030.10b	3222	2812.91	32.5618	1.042
T14B1.2	1220	810.907	8	0.888041
C02H7.3a	4574	4164.91	36.1957	0.782287
C02H7.3b	4428	4018.91	46.8043	1.04831
F32A7.6	1780	1370.91	355	23.3096
Y87G2A.4	946	537.93	25	4.18339
B0334.8	3766	3356.91	895	23.9993
F32A6.4a	2137	1727.91	196	10.2106
F32A6.4b	2166	1756.91	0	0
F32A6.4c	375	135.688	0	0
Y62E10A.5a	598	245.533	58.6072	21.486
Y62E10A.5b.1	579	233.734	0	0
Y62E10A.5b.2	574	230.713	3.39281	1.32374
F09E5.13	1231	821.907	1034	113.243
C25A1.11a	1605	1195.91	68	5.1183
C25A1.11b	1599	1189.91	0	0
C41G7.5a	1841	1431.91	0	0
C41G7.5b	1803	1393.91	8	0.516619
F58E10.4	1059	649.907	304	42.1053
K07C11.2.1	1343	933.907	874.886	84.3261
K07C11.2.2	1421	1011.91	428.114	38.0832
B0207.4	1121	711.907	332	41.9787
C25A11.4a	4737	4327.91	51.5329	1.07182
C25A11.4b	2842	2432.91	381.478	14.1143
C25A11.4c	3829	3419.91	179.352	4.7207
C25A11.4d	4614	4204.91	907.637	19.4299
C25A11.4e	3084	2674.91	0	0
D1022.7a.1	4264	3854.91	42.2809	0.987288
D1022.7a.2	4305	3895.91	52.4681	1.21227
D1022.7b.1	4279	3869.91	1317.93	30.6554
D1022.7b.2	4317	3907.91	567.318	13.0676
D1022.7c.1	1953	1543.91	0	0
D1022.7c.2	1991	1581.91	0	0
C12D8.10a	2119	1709.91	998.324	52.5549
C12D8.10b	2134	1724.91	48.6761	2.54018
C12D8.10c	1996	1586.91	0	0
F28H6.1a	2002	1592.91	29.6574	1.67593
F28H6.1b	2381	1971.91	27.3426	1.24815
F48F7.1a	4587	4177.91	366.069	7.88711
F48F7.1b	4968	4558.91	23.9313	0.472519
T07D3.7a	3247	2837.91	62.3716	1.97835
T07D3.7b	3156	2746.91	621.628	20.3705
F54D8.3a.1	1608	1198.91	0	0
F54D8.3a.2	1703	1293.91	1327.56	92.3558
F54D8.3b.1	1607	1197.91	0	0
F54D8.3b.2	1702	1292.91	0.000205191	1.42858e-05
F54D8.3b.3	1666	1256.91	30.5536	2.18813
F54D8.3b.4	1387	977.907	150.89	13.8892
K04F1.15	1641	1231.91	1	0.0730695
F36H1.6	2866	2456.91	706	25.8661
T05H4.13a.1	1583	1173.91	106.845	8.19287
T05H4.13a.2	1596	1186.91	6.87016	0.521032
T05H4.13b.1	1910	1500.91	861.629	51.675
T05H4.13b.2	1923	1513.91	100.059	5.94937
T05H4.13c.1	1669	1259.91	83.1527	5.9409
T05H4.13c.2	1682	1272.91	6.44353	0.455661
T08B1.3	1379	969.907	12	1.11369
F56D12.1a.1	1840	1430.91	20.0545	1.26158
F56D12.1a.2	1936	1526.91	17.5343	1.03369
F56D12.1a.3	1850	1440.91	0.00287089	0.000179347
F56D12.1b.1	1542	1132.91	0	0
F56D12.1b.2	1638	1228.91	0	0
F56D12.1b.3	1552	1142.91	0	0
F56D12.1c.1	1823	1413.91	14.5429	0.925859
F56D12.1c.2	1919	1509.91	12.5075	0.745649
F56D12.1c.3	1833	1423.91	0.0018724	0.000118367
F56D12.1d.1	1660	1250.91	359.822	25.8927
F56D12.1d.2	1936	1526.91	17.5343	1.03369
F45H10.1a.1	1748	1338.91	118.237	7.94906
F45H10.1a.2	1567	1157.91	0	0
F45H10.1b	872	466.962	26.8473	5.17528
F13D12.4a.1	1789	1379.91	3335.86	217.607
F13D12.4a.2	1828	1418.91	2161.57	137.129
F13D12.4a.3	1840	1430.91	352.556	22.1785
F13D12.4b	1824	1414.91	9.01199	0.573333
F01F1.6.1	1832	1422.91	891.134	56.3742
F01F1.6.2	1952	1542.91	282.866	16.5027
C54D1.4	1656	1246.91	596	43.0255
F42G9.5a	2154	1744.91	110.983	5.72533
F42G9.5b	1588	1178.91	256.017	19.548
Y69F12A.2a.1	1587	1177.91	127.09	9.71215
Y69F12A.2a.2	1656	1246.91	60.2259	4.34774
Y69F12A.2b.1	1650	1240.91	102.048	7.4025
Y69F12A.2b.2	1719	1309.91	50.6361	3.47964
C01F6.5	772	376.528	35	8.36729
F23B2.6	791	393.051	437	100.08
M18.7a.1	959	550.613	409.65	66.9701
M18.7a.2	1093	683.907	220.626	29.0385
M18.7b	1139	729.907	35.7234	4.40554
F36A4.7	6024	5614.91	2801	44.904
C05E11.4	1728	1318.91	11	0.750745
F49E11.3	1569	1159.91	1	0.0776052
M195.3	2360	1950.91	22	1.01508
C05E11.5	1883	1473.91	263	16.062
R13G10.2	2642	2232.91	90	3.62816
B0019.1	2357	1947.91	184	8.50284
F25C8.2a	1398	988.907	164	14.928
F25C8.2b	1131	721.907	0	0
ZK973.6	25871	25461.9	33288	117.682
C08B6.9	1240	830.907	476	51.5666
K06H7.6	2323	1913.91	1190	55.9681
F15H10.3a.1	771	375.669	108.467	25.99
F15H10.3a.2	765	370.533	0	0
F15H10.3a.3	775	379.113	377.2	89.5605
F15H10.3b	697	315.215	1.28206e-08	3.66114e-09
F15H10.3c	697	315.215	1.28206e-08	3.66114e-09
F15H10.3d	770	374.81	270.333	64.9236
F35G12.9	565	225.363	55	21.9682
F46F3.4a	2753	2343.91	309.573	11.8888
F46F3.4b	2541	2131.91	142.485	6.01611
F46F3.4c	1807	1397.91	124.133	7.99327
F46F3.4d	1449	1039.91	452.809	39.1954
VF36H2L.1	1107	697.907	164	21.1524
ZC434.6a	2375	1965.91	159.919	7.32235
ZC434.6b	2381	1971.91	170.081	7.76397
C42D8.8a	2729	2319.91	1436	55.7183
C42D8.8b	2723	2313.91	9.86089e-08	3.83605e-09
F55A12.7	1604	1194.91	167	12.5805
T05H10.2	1279	869.907	309	31.9742
W03G9.4.1	2097	1687.91	1007.41	53.7243
W03G9.4.2	2337	1927.91	144.593	6.75111
K04G2.8a	3894	3484.91	303.445	7.83796
K04G2.8b	3900	3490.91	843.555	21.7515
F02E8.3	576	231.917	31	12.0321
Y105E8A.9	3014	2604.91	816	28.1976
F29G9.3	613	255.207	144	50.7906
Y71H2B.10a	3112	2702.91	799.477	26.625
Y71H2B.10b	903	496.394	124.086	22.5015
Y71H2B.10c	2496	2086.91	8.43656	0.363895
T20B5.1.1	3372	2962.91	0	0
T20B5.1.2	3297	2887.91	286	8.9145
W09G10.4a	4130	3720.91	193.091	4.67118
W09G10.4b	3417	3007.91	590.909	17.6836
R11A5.1a	2926	2516.91	0	0
R11A5.1b	2896	2486.91	785	28.4135
F53H8.1	1454	1044.91	314	27.0499
Y48G8AL.14	638	272.04	51	16.8753
W04G3.4	2154	1744.91	21	1.08333
