target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1607.74	3034	59.506
F27C8.1	1940	1760.74	113	2.02369
F07C3.7	1728	1548.74	136	2.76899
F52H2.2	1739	1559.74	469	9.4816
T13A10.10a	1734	1554.74	194.343	3.94159
T13A10.10b	1598	1418.74	16.6574	0.370225
C55C2.5a	1840	1660.74	101.461	1.92645
C55C2.5b	1606	1426.74	13.0018	0.287356
C55C2.5c	1671	1491.74	8.53722	0.180461
C55C2.5d	1618	1438.74	0	0
T11F9.4a	1765	1585.74	0.000228001	4.53383e-06
T11F9.4b.1	1684	1504.74	61.8577	1.29626
T11F9.4b.2	1784	1604.74	48.142	0.945978
F54D12.3	1503	1323.74	1	0.0238209
F28F9.4	1452	1272.74	11	0.27253
Y53H1C.1a	2022	1842.74	1966.66	33.6531
Y53H1C.1b	1958	1778.74	183.212	3.24791
C50F2.9	258	89.9725	1	0.35047
C50F2.10	414	234.752	9	1.20891
F54B8.5	270	98.9477	0	0
Y38H6C.22	381	201.825	0	0
T22H6.5	484	304.74	28	2.89727
T22H6.7	646	466.74	23	1.55387
M79.1a	4081	3901.74	528.423	4.27056
M79.1b	4012	3832.74	183.577	1.51032
M79.1c	3997	3817.74	0	0
C24F3.5a	4715	4535.74	21.9811	0.152813
C24F3.5b	4726	4546.74	1.01895	0.00706665
F12B6.1a	6670	6490.74	58.4751	0.284078
F12B6.1b	6559	6379.74	198.525	0.981235
Y39D8C.1	5545	5365.74	659	3.87273
Y53C10A.9	4724	4544.74	28	0.194272
AC3.3	1403	1223.74	0	0
F19G12.7	1719	1539.74	0	0
F31A3.1	729	549.74	0	0
Y5H2A.3	1020	840.74	1.68795	0.063308
Y105C5A.4	1008	828.74	0	0
C03A7.7	1174	994.74	0	0
C03A7.8	1317	1137.74	2	0.0554304
C03A7.14	1525	1345.74	0	0
R09F10.2	1137	957.74	14	0.460937
F35A5.3	1271	1091.74	0	0
T01D1.6	1273	1093.74	6	0.172981
W09B12.1.1	1984	1804.74	27.2189	0.475573
W09B12.1.2	2525	2345.74	190.781	2.56458
Y44E3A.2	1995	1815.74	199	3.45589
Y48B6A.8	2168	1988.74	32.0166	0.507642
Y48B6A.7	1930	1750.74	2	0.0360221
C42D8.5a	3282	3102.74	41.4419	0.421168
C42D8.5b	1560	1380.74	12.8978	0.294553
ZK455.1	3072	2892.74	7026	76.5878
F54H12.1a	2709	2529.74	28608.3	356.596
F54H12.1b	2365	2185.74	50.4959	0.728482
F54H12.1c.1	2500	2320.74	0.340322	0.00462407
F54H12.1c.2	2562	2382.74	73.8856	0.977787
K11G12.2	1888	1708.74	4	0.0738151
K11G12.7	1660	1480.74	2	0.0425904
K03F8.2	1800	1620.74	15	0.291836
ZK973.5	1666	1486.74	3	0.0636279
T09A5.3	1692	1512.74	5	0.104224
ZC504.2	1758	1578.74	9	0.17976
C40C9.2	1909	1729.74	10	0.182297
R02E12.8	1680	1500.74	1	0.0210114
D2092.3	1445	1265.74	33	0.822111
R01E6.4	1926	1746.74	28	0.505465
T05C12.2	1595	1415.74	4	0.0890918
F25G6.4	1506	1326.74	38	0.903148
F25G6.3a	1797	1617.74	67	1.30595
F25G6.3b	2176	1996.74	0	0
F53E10.2a	1359	1179.74	20.3194	0.543106
F53E10.2b	1616	1436.74	13.6806	0.300254
F28F8.1	1617	1437.74	75	1.64491
C31H5.3a	1858	1678.74	6	0.112701
C31H5.3b	1841	1661.74	0	0
R06A4.10a	1702	1522.74	0.00271837	5.62915e-05
R06A4.10b	1693	1513.74	4.99728	0.104098
R06A4.10c	1841	1661.74	0	0
F27B3.2	1410	1230.74	6	0.153726
F48E3.7	1435	1255.74	3	0.0753325
F59B1.9	1718	1538.74	1	0.0204925
T04C12.6.1	1264	1084.74	5.41128e-08	1.57302e-09
T04C12.6.2	1366	1186.74	691.875	18.3837
T04C12.6.3	1346	1166.74	15589.1	421.315
T04C12.6.4	1277	1097.74	26702.6	767.034
T04C12.5.1	1321	1141.74	0.000272024	7.5128e-06
T04C12.5.2	1335	1155.74	56016	1528.31
T04C12.4.1	1480	1300.74	6436.2	156.027
T04C12.4.2	1564	1384.74	21734.2	494.921
T04C12.4.3	1559	1379.74	0	0
M03F4.2a	1672	1492.74	5338.58	112.772
M03F4.2b.1	1599	1419.74	0	0
M03F4.2b.2	1603	1423.74	0	0
M03F4.2b.3	1606	1426.74	31088	687.082
M03F4.2b.4	1596	1416.74	0	0
M03F4.2b.5	1541	1361.74	16.2867	0.377138
M03F4.2b.6	1576	1396.74	0	0
M03F4.2c	1633	1453.74	0	0
T25C8.2.1	1343	1163.74	0.322499	0.00873843
T25C8.2.2	1344	1164.74	12743	344.987
F17C8.1	4068	3888.74	175	1.41903
C10F3.3	3343	3163.74	20	0.199338
C44F1.5	4064	3884.74	128	1.03898
T01C2.1	3269	3089.74	269	2.74531
F39C12.2a	2213	2033.74	0	0
F39C12.2b	2525	2345.74	65.9252	0.886201
F39C12.2c	2428	2248.74	0	0
F39C12.2d	2049	1869.74	7.07399	0.119301
F39C12.2e	2611	2431.74	20.0008	0.259354
F57F5.4a.1	1990	1810.74	400.885	6.98112
F57F5.4a.2	2032	1852.74	44.1129	0.750779
F57F5.4b	1052	872.74	142.002	5.13062
C04A11.4	3227	3047.74	1025	10.6049
ZK154.7	2342	2162.74	925	13.4865
H15N14.1c	3023	2843.74	3150.34	34.9324
H15N14.1d	2851	2671.74	0	0
H15N14.1e	2794	2614.74	1489.43	17.9619
H15N14.1f	3119	2939.74	0	0
H15N14.1g	370	190.895	67.0062	11.0683
T20H4.4	1697	1517.74	3043	63.2216
Y50D7A.7	1886	1706.74	3580	66.1419
C02B4.1	4802	4622.74	31	0.211458
F08C6.1a.1	3788	3608.74	456.55	3.98927
F08C6.1a.2	3910	3730.74	333.178	2.81607
F08C6.1b	1163	983.74	88.8212	2.84706
F08C6.1c.1	3027	2847.74	36.5601	0.404826
F08C6.1c.2	3149	2969.74	26.8905	0.285524
D2030.10a	3221	3041.74	233.413	2.41971
D2030.10b	3222	3042.74	16.5869	0.171895
T14B1.2	1220	1040.74	23	0.696862
C02H7.3a	4574	4394.74	36.1525	0.259398
C02H7.3b	4428	4248.74	149.848	1.11212
F32A7.6	1780	1600.74	400.972	7.89868
Y87G2A.4	946	766.74	151	6.20997
B0334.8	3766	3586.74	4123	36.2472
F32A6.4a	2137	1957.74	917	14.7698
F32A6.4b	2166	1986.74	0	0
F32A6.4c	375	195.859	0	0
Y62E10A.5a	598	418.74	497.657	37.4754
Y62E10A.5b.1	579	399.74	0	0
Y62E10A.5b.2	574	394.74	113.343	9.05406
F09E5.13	1231	1051.74	1305.25	39.1331
C25A1.11a	1605	1425.74	606.139	13.4058
C25A1.11b	1599	1419.74	0	0
C41G7.5a	1841	1661.74	0	0
