target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1607.74	1676	52.7719
F27C8.1	1940	1760.74	159	4.57137
F07C3.7	1728	1548.74	47	1.53626
F52H2.2	1739	1559.74	243	7.88675
T13A10.10a	1734	1554.74	80	2.60481
T13A10.10b	1598	1418.74	0	0
C55C2.5a	1840	1660.74	14.1944	0.432673
C55C2.5b	1606	1426.74	30.8035	1.09295
C55C2.5c	1671	1491.74	0	0
C55C2.5d	1618	1438.74	0.00208953	7.35207e-05
T11F9.4a	1765	1585.74	19.577	0.624969
T11F9.4b.1	1684	1504.74	99.423	3.34479
T11F9.4b.2	1784	1604.74	2.3112e-05	7.29083e-07
F54D12.3	1503	1323.74	2	0.0764841
F28F9.4	1452	1272.74	65	2.58534
Y53H1C.1a	2022	1842.74	957.323	26.299
Y53H1C.1b	1958	1778.74	154.767	4.40464
C50F2.9	258	89.9725	1	0.562645
C50F2.10	414	234.752	149	32.1308
F54B8.5	270	98.9477	0	0
Y38H6C.22	381	201.825	0	0
T22H6.5	484	304.74	7	1.16282
T22H6.7	646	466.74	8	0.867679
M79.1a	4081	3901.74	220.131	2.85606
M79.1b	4012	3832.74	307.869	4.06631
M79.1c	3997	3817.74	0	0
C24F3.5a	4715	4535.74	10.355	0.11557
C24F3.5b	4726	4546.74	0.645048	0.00718185
F12B6.1a	6670	6490.74	116.95	0.912118
F12B6.1b	6559	6379.74	225.05	1.78575
Y39D8C.1	5545	5365.74	596	5.62291
Y53C10A.9	4724	4544.74	9	0.100248
AC3.3	1403	1223.74	0	0
F19G12.7	1719	1539.74	0	0
F31A3.1	729	549.74	0	0
Y5H2A.3	1020	840.74	1	0.0602119
Y105C5A.4	1008	828.74	0	0
C03A7.7	1174	994.74	0	0
C03A7.8	1317	1137.74	1	0.044494
C03A7.14	1525	1345.74	0	0
R09F10.2	1137	957.74	1	0.0528563
F35A5.3	1271	1091.74	1	0.0463687
T01D1.6	1273	1093.74	4	0.185136
W09B12.1.1	1984	1804.74	68.6016	1.92426
W09B12.1.2	2525	2345.74	108.398	2.33931
Y44E3A.2	1995	1815.74	126	3.51286
Y48B6A.8	2168	1988.74	17.8294	0.45384
Y48B6A.7	1930	1750.74	0	0
C42D8.5a	3282	3102.74	23.4237	0.382168
C42D8.5b	1560	1380.74	24.5102	0.898626
ZK455.1	3072	2892.74	3935	68.862
F54H12.1a	2709	2529.74	15721.3	314.599
F54H12.1b	2365	2185.74	0	0
F54H12.1c.1	2500	2320.74	4.83441	0.105453
F54H12.1c.2	2562	2382.74	87.8632	1.8667
K11G12.2	1888	1708.74	1	0.0296257
K11G12.7	1660	1480.74	3	0.102562
K03F8.2	1800	1620.74	6	0.187405
ZK973.5	1666	1486.74	3	0.102148
T09A5.3	1692	1512.74	2	0.0669283
ZC504.2	1758	1578.74	2	0.0641303
C40C9.2	1909	1729.74	6	0.175596
R02E12.8	1680	1500.74	4	0.134927
D2092.3	1445	1265.74	15	0.599917
R01E6.4	1926	1746.74	11	0.318793
T05C12.2	1595	1415.74	2	0.0715139
F25G6.4	1506	1326.74	28	1.06836
F25G6.3a	1797	1617.74	24	0.751012
F25G6.3b	2176	1996.74	0	0
F53E10.2a	1359	1179.74	4.12478	0.176994
F53E10.2b	1616	1436.74	15.8752	0.559352
F28F8.1	1617	1437.74	23	0.809826
C31H5.3a	1858	1678.74	1	0.0301551
C31H5.3b	1841	1661.74	0	0
R06A4.10a	1702	1522.74	0.00895906	0.000297839
R06A4.10b	1693	1513.74	7.99104	0.267237
R06A4.10c	1841	1661.74	0	0
F27B3.2	1410	1230.74	0	0
F48E3.7	1435	1255.74	0	0
F59B1.9	1718	1538.74	2	0.0657974
T04C12.6.1	1264	1084.74	1.96924e-08	9.19003e-10
T04C12.6.2	1366	1186.74	133.854	5.70977
T04C12.6.3	1346	1166.74	5220.35	226.501
T04C12.6.4	1277	1097.74	9254.73	426.784
T04C12.5.1	1321	1141.74	0.00159811	7.08573e-05
T04C12.5.2	1335	1155.74	26163.3	1145.98
T04C12.4.1	1480	1300.74	4645.42	180.792
T04C12.4.2	1564	1384.74	7471.49	273.139
T04C12.4.3	1559	1379.74	0	0
M03F4.2a	1672	1492.74	2261.73	76.7009
M03F4.2b.1	1599	1419.74	0	0
M03F4.2b.2	1603	1423.74	27.0551	0.961971
M03F4.2b.3	1606	1426.74	18359.1	651.403
M03F4.2b.4	1596	1416.74	0	0
M03F4.2b.5	1541	1361.74	0	0
M03F4.2b.6	1576	1396.74	0	0
M03F4.2c	1633	1453.74	0	0
T25C8.2.1	1343	1163.74	0.746924	0.0324911
T25C8.2.2	1344	1164.74	6313.24	274.39
F17C8.1	4068	3888.74	137	1.78343
C10F3.3	3343	3163.74	10	0.160009
C44F1.5	4064	3884.74	120	1.56374
T01C2.1	3269	3089.74	202	3.30959
F39C12.2a	2213	2033.74	24.7852	0.616937
F39C12.2b	2525	2345.74	48.3657	1.04376
F39C12.2c	2428	2248.74	26.8491	0.604414
F39C12.2d	2049	1869.74	0	0
F39C12.2e	2611	2431.74	0	0
F57F5.4a.1	1990	1810.74	176.956	4.94712
F57F5.4a.2	2032	1852.74	44.1129	1.2053
F57F5.4b	1052	872.74	169.931	9.85673
C04A11.4	3227	3047.74	750	12.4574
ZK154.7	2342	2162.74	484	11.3288
H15N14.1c	3023	2843.74	1655.25	29.4659
H15N14.1d	2851	2671.74	0	0
H15N14.1e	2794	2614.74	727.988	14.0942
H15N14.1f	3119	2939.74	0	0
H15N14.1g	370	190.895	43.8994	11.6414
T20H4.4	1697	1517.74	1789	59.6701
Y50D7A.7	1886	1706.74	2739	81.2398
C02B4.1	4802	4622.74	6	0.0657046
F08C6.1a.1	3788	3608.74	175.282	2.45881
F08C6.1a.2	3910	3730.74	121.847	1.65334
F08C6.1b	1163	983.74	53.0286	2.72881
F08C6.1c.1	3027	2847.74	0.47023	0.00835899
F08C6.1c.2	3149	2969.74	0.372797	0.00635474
D2030.10a	3221	3041.74	244	4.0608
D2030.10b	3222	3042.74	0	0
T14B1.2	1220	1040.74	7	0.340486
C02H7.3a	4574	4394.74	25.51	0.293847
C02H7.3b	4428	4248.74	137.49	1.63816
F32A7.6	1780	1600.74	396.321	12.5334
Y87G2A.4	946	766.74	162	10.6957
B0334.8	3766	3586.74	2219	31.3185
F32A6.4a	2137	1957.74	592	15.3077
F32A6.4b	2166	1986.74	0	0
F32A6.4c	375	195.859	0	0
Y62E10A.5a	598	418.74	310.726	37.5644
Y62E10A.5b.1	579	399.74	0	0
Y62E10A.5b.2	574	394.74	55.2741	7.08851
F09E5.13	1231	1051.74	760.822	36.6201
C25A1.11a	1605	1425.74	472.619	16.7809
C25A1.11b	1599	1419.74	0	0
C41G7.5a	1841	1661.74	0	0
C41G7.5b	1803	1623.74	8	0.249412
F58E10.4	1059	879.74	1419	81.653
K07C11.2.1	1343	1163.74	2376.27	103.367
K07C11.2.2	1421	1241.74	1639.73	66.8478
B0207.4	1121	941.74	1493	80.2551
C25A11.4a	4737	4557.74	0	0
C25A11.4b	2842	2662.74	604.862	11.4993
C25A11.4c	3829	3649.74	0.0450721	0.000625158
C25A11.4d	4614	4434.74	645.187	7.36481
C25A11.4e	3084	2904.74	425.906	7.42251
D1022.7a.1	4264	4084.74	43.8134	0.542984
D1022.7a.2	4305	4125.74	101.08	1.24025
D1022.7b.1	4279	4099.74	1778.68	21.9626
D1022.7b.2	4317	4137.74	4104.81	50.2197
D1022.7c.1	1953	1773.74	0.381074	0.0108759
D1022.7c.2	1991	1811.74	3.23517	0.0903953
C12D8.10a	2119	1939.74	4173.75	108.925
C12D8.10b	2134	1954.74	536.801	13.9017
C12D8.10c	1996	1816.74	17.452	0.486292
F28H6.1a	2002	1822.74	624.512	17.3444
F28H6.1b	2381	2201.74	10.4879	0.24114
F48F7.1a	4587	4407.74	499.623	5.73813
F48F7.1b	4968	4788.74	251.377	2.65735
T07D3.7a	3247	3067.74	775.363	12.7947
T07D3.7b	3156	2976.74	764.637	13.0034
F54D8.3a.1	1608	1428.74	11084.7	392.749
F54D8.3a.2	1703	1523.74	1788.65	59.4234
F54D8.3b.1	1607	1427.74	35.4117	1.25557
F54D8.3b.2	1702	1522.74	7.75889	0.25794
F54D8.3b.3	1666	1486.74	574.486	19.5609
F54D8.3b.4	1387	1207.74	3.45996e-08	1.45024e-09
K04F1.15	1641	1461.74	0	0
F36H1.6	2866	2686.74	2601	49.0071
T05H4.13a.1	1583	1403.74	0.000285556	1.02979e-05
T05H4.13a.2	1596	1416.74	1126.34	40.246
T05H4.13b.1	1910	1730.74	0.00993258	0.000290519
T05H4.13b.2	1923	1743.74	2156.71	62.6116
T05H4.13c.1	1669	1489.74	0.000262992	8.93669e-06
T05H4.13c.2	1682	1502.74	444.941	14.9887
T08B1.3	1379	1199.74	269	11.3503
F56D12.1a.1	1840	1660.74	1.48805e-06	4.53587e-08
F56D12.1a.2	1936	1756.74	93.0315	2.68081
F56D12.1a.3	1850	1670.74	1164.62	35.2873
F56D12.1b.1	1542	1362.74	0	0
F56D12.1b.2	1638	1458.74	6.07492	0.210818
F56D12.1b.3	1552	1372.74	120.272	4.43526
F56D12.1c.1	1823	1643.74	1.39924e-07	4.30925e-09
F56D12.1c.2	1919	1739.74	12.0142	0.349586
F56D12.1c.3	1833	1653.74	143.959	4.40671
F56D12.1d.1	1660	1480.74	0	0
F56D12.1d.2	1936	1756.74	93.0315	2.68081
F45H10.1a.1	1748	1568.74	728.477	23.5076
F45H10.1a.2	1567	1387.74	169.842	6.19556
F45H10.1b	872	692.74	199.967	14.6128
F13D12.4a.1	1789	1609.74	10597.8	333.277
F13D12.4a.2	1828	1648.74	9281.01	284.962
F13D12.4a.3	1840	1660.74	1220.19	37.1937
F13D12.4b	1824	1644.74	75.9812	2.33858
F01F1.6.1	1832	1652.74	1592.72	48.7842
F01F1.6.2	1952	1772.74	827.279	23.6239
