target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1607.74	3706	65.0147
F27C8.1	1940	1760.74	359	5.75071
F07C3.7	1728	1548.74	134	2.44033
F52H2.2	1739	1559.74	695	12.5677
T13A10.10a	1734	1554.74	57.1596	1.03694
T13A10.10b	1598	1418.74	23.8404	0.473951
C55C2.5a	1840	1660.74	89.7697	1.52458
C55C2.5b	1606	1426.74	0	0
C55C2.5c	1671	1491.74	0	0
C55C2.5d	1618	1438.74	21.2303	0.416193
T11F9.4a	1765	1585.74	0	0
T11F9.4b.1	1684	1504.74	0	0
T11F9.4b.2	1784	1604.74	23	0.404246
F54D12.3	1503	1323.74	2	0.0426137
F28F9.4	1452	1272.74	16	0.35457
Y53H1C.1a	2022	1842.74	2454.5	37.5683
Y53H1C.1b	1958	1778.74	506.943	8.03839
C50F2.9	258	89.9725	9	2.82134
C50F2.10	414	234.752	287	34.4822
F54B8.5	270	98.9477	0	0
Y38H6C.22	381	201.825	0	0
T22H6.5	484	304.74	42	3.88724
T22H6.7	646	466.74	19	1.14816
M79.1a	4081	3901.74	706.259	5.10538
M79.1b	4012	3832.74	602.741	4.43551
M79.1c	3997	3817.74	0	0
C24F3.5a	4715	4535.74	15.4154	0.0958581
C24F3.5b	4726	4546.74	7.58461	0.0470496
F12B6.1a	6670	6490.74	385.978	1.67722
F12B6.1b	6559	6379.74	0.0224137	9.90907e-05
Y39D8C.1	5545	5365.74	720	3.78465
Y53C10A.9	4724	4544.74	25	0.155151
AC3.3	1403	1223.74	4	0.092192
F19G12.7	1719	1539.74	3	0.0549536
F31A3.1	729	549.74	0	0
Y5H2A.3	1020	840.74	5	0.167738
Y105C5A.4	1008	828.74	2.73912	0.0932212
C03A7.7	1174	994.74	0	0
C03A7.8	1317	1137.74	4.20394	0.104216
C03A7.14	1525	1345.74	1.79606	0.0376428
R09F10.2	1137	957.74	7	0.206145
F35A5.3	1271	1091.74	0	0
T01D1.6	1273	1093.74	6	0.154725
W09B12.1.1	1984	1804.74	73.922	1.15526
W09B12.1.2	2525	2345.74	130.078	1.56403
Y44E3A.2	1995	1815.74	134	2.08149
Y48B6A.8	2168	1988.74	21.7557	0.308545
Y48B6A.7	1930	1750.74	6	0.0966611
C42D8.5a	3282	3102.74	14.4146	0.131033
C42D8.5b	1560	1380.74	7.7522	0.158356
ZK455.1	3072	2892.74	4189	40.8435
F54H12.1a	2709	2529.74	33946	378.473
F54H12.1b	2365	2185.74	0	0
F54H12.1c.1	2500	2320.74	0.00172514	2.09663e-05
F54H12.1c.2	2562	2382.74	0	0
K11G12.2	1888	1708.74	6	0.099037
K11G12.7	1660	1480.74	5	0.0952387
K03F8.2	1800	1620.74	22	0.382853
ZK973.5	1666	1486.74	1	0.0189709
T09A5.3	1692	1512.74	13	0.242383
ZC504.2	1758	1578.74	14	0.250115
C40C9.2	1909	1729.74	18	0.293504
R02E12.8	1680	1500.74	12	0.225527
D2092.3	1445	1265.74	26	0.579363
R01E6.4	1926	1746.74	17	0.2745
T05C12.2	1595	1415.74	6	0.119534
F25G6.4	1506	1326.74	23	0.48895
F25G6.3a	1797	1617.74	66	1.15069
F25G6.3b	2176	1996.74	0	0
F53E10.2a	1359	1179.74	5.73609	0.137136
F53E10.2b	1616	1436.74	37.2639	0.731531
F28F8.1	1617	1437.74	59	1.15743
C31H5.3a	1858	1678.74	29	0.487233
C31H5.3b	1841	1661.74	0	0
R06A4.10a	1702	1522.74	4.04503	0.0749236
R06A4.10b	1693	1513.74	0	0
R06A4.10c	1841	1661.74	11.955	0.202912
F27B3.2	1410	1230.74	9	0.206252
F48E3.7	1435	1255.74	1	0.0224607
F59B1.9	1718	1538.74	8	0.146638
T04C12.6.1	1264	1084.74	0	0
T04C12.6.2	1366	1186.74	4665.78	110.89
T04C12.6.3	1346	1166.74	14911.3	360.466
T04C12.6.4	1277	1097.74	17896	459.811
T04C12.5.1	1321	1141.74	0	0
T04C12.5.2	1335	1155.74	56495.7	1378.72
T04C12.4.1	1480	1300.74	0	0
T04C12.4.2	1564	1384.74	33815.3	688.76
T04C12.4.3	1559	1379.74	0	0
M03F4.2a	1672	1492.74	18260.3	345.021
M03F4.2b.1	1599	1419.74	0	0
M03F4.2b.2	1603	1423.74	26.8169	0.531252
M03F4.2b.3	1606	1426.74	18662.3	368.928
M03F4.2b.4	1596	1416.74	0	0
M03F4.2b.5	1541	1361.74	0	0
M03F4.2b.6	1576	1396.74	0	0
M03F4.2c	1633	1453.74	0	0
T25C8.2.1	1343	1163.74	0.410568	0.00995064
T25C8.2.2	1344	1164.74	3889.01	94.1744
F17C8.1	4068	3888.74	175	1.26926
C10F3.3	3343	3163.74	10	0.08915
C44F1.5	4064	3884.74	156	1.13262
T01C2.1	3269	3089.74	186	1.6979
F39C12.2a	2213	2033.74	23.8528	0.3308
F39C12.2b	2525	2345.74	32.871	0.395235
F39C12.2c	2428	2248.74	0.000117889	1.47862e-06
F39C12.2d	2049	1869.74	8.51057e-07	1.28381e-08
F39C12.2e	2611	2431.74	28.2761	0.327963
F57F5.4a.1	1990	1810.74	428.545	6.67517
F57F5.4a.2	2032	1852.74	400.806	6.10158
F57F5.4b	1052	872.74	353.649	11.429
C04A11.4	3227	3047.74	1802	16.6763
ZK154.7	2342	2162.74	1438	18.7533
H15N14.1c	3023	2843.74	3279.67	32.5284
H15N14.1d	2851	2671.74	36.8302	0.388805
H15N14.1e	2794	2614.74	1332.03	14.3684
H15N14.1f	3119	2939.74	0	0
H15N14.1g	370	190.895	131.655	19.452
T20H4.4	1697	1517.74	4198	78.0131
Y50D7A.7	1886	1706.74	2609	43.1151
C02B4.1	4802	4622.74	32	0.195242
F08C6.1a.1	3788	3608.74	232.819	1.81963
F08C6.1a.2	3910	3730.74	164.828	1.24612
F08C6.1b	1163	983.74	114.122	3.27198
F08C6.1c.1	3027	2847.74	173.017	1.7136
F08C6.1c.2	3149	2969.74	112.215	1.06575
D2030.10a	3221	3041.74	112.945	1.04729
D2030.10b	3222	3042.74	16.0551	0.148823
T14B1.2	1220	1040.74	7	0.189705
C02H7.3a	4574	4394.74	48.2627	0.309742
C02H7.3b	4428	4248.74	116.737	0.774947
F32A7.6	1780	1600.74	360.738	6.35614
Y87G2A.4	946	766.74	152	5.59136
B0334.8	3766	3586.74	5335	41.9524
F32A6.4a	2137	1957.74	1465	21.1059
F32A6.4b	2166	1986.74	0	0
F32A6.4c	375	195.859	0	0
Y62E10A.5a	598	418.74	634.2	42.7173
Y62E10A.5b.1	579	399.74	0	0
Y62E10A.5b.2	574	394.74	318.8	22.7787
F09E5.13	1231	1051.74	1660.6	44.5328
C25A1.11a	1605	1425.74	957.949	18.9507
C25A1.11b	1599	1419.74	0	0
C41G7.5a	1841	1661.74	0	0
C41G7.5b	1803	1623.74	13	0.225813
F58E10.4	1059	879.74	1776	56.9391
K07C11.2.1	1343	1163.74	0.0228275	0.000553255
K07C11.2.2	1421	1241.74	10408	236.406
B0207.4	1121	941.74	4279	128.154
C25A11.4a	4737	4557.74	149.766	0.926797
C25A11.4b	2842	2662.74	899.328	9.52602
C25A11.4c	3829	3649.74	4.01745	0.0310464
C25A11.4d	4614	4434.74	728.182	4.6312
C25A11.4e	3084	2904.74	546.708	5.30848
D1022.7a.1	4264	4084.74	13.7492	0.094937
D1022.7a.2	4305	4125.74	474.826	3.24605
D1022.7b.1	4279	4099.74	231.112	1.58997
D1022.7b.2	4317	4137.74	14813.3	100.974
D1022.7c.1	1953	1773.74	0	0
D1022.7c.2	1991	1811.74	0	0
C12D8.10a	2119	1939.74	10576.9	153.793
C12D8.10b	2134	1954.74	828.829	11.9591
C12D8.10c	1996	1816.74	14.3079	0.222129
F28H6.1a	2002	1822.74	1145.78	17.7296
F28H6.1b	2381	2201.74	5.21798	0.0668435
F48F7.1a	4587	4407.74	1043.44	6.67686
F48F7.1b	4968	4788.74	741.563	4.36767
T07D3.7a	3247	3067.74	4361.89	40.1032
T07D3.7b	3156	2976.74	0.108526	0.00102829
F54D8.3a.1	1608	1428.74	11111.5	219.353
F54D8.3a.2	1703	1523.74	2656.29	49.1685
F54D8.3b.1	1607	1427.74	70.8014	1.39867
F54D8.3b.2	1702	1522.74	22.2677	0.41245
F54D8.3b.3	1666	1486.74	2079.1	39.4422
F54D8.3b.4	1387	1207.74	0	0
K04F1.15	1641	1461.74	1	0.0192953
F36H1.6	2866	2686.74	2854	29.9606
T05H4.13a.1	1583	1403.74	0	0
T05H4.13a.2	1596	1416.74	1451.85	28.9038
T05H4.13b.1	1910	1730.74	0	0
T05H4.13b.2	1923	1743.74	4398.44	71.1441
T05H4.13c.1	1669	1489.74	0	0
T05H4.13c.2	1682	1502.74	710.709	13.3392
T08B1.3	1379	1199.74	274	6.44148
F56D12.1a.1	1840	1660.74	0	0
F56D12.1a.2	1936	1756.74	707.839	11.3645
F56D12.1a.3	1850	1670.74	1910.7	32.2557
F56D12.1b.1	1542	1362.74	0	0
F56D12.1b.2	1638	1458.74	148.76	2.87627
F56D12.1b.3	1552	1372.74	464.675	9.54737
F56D12.1c.1	1823	1643.74	0	0
F56D12.1c.2	1919	1739.74	16.4376	0.266486
F56D12.1c.3	1833	1653.74	37.7473	0.643786
F56D12.1d.1	1660	1480.74	0	0
F56D12.1d.2	1936	1756.74	707.839	11.3645
F45H10.1a.1	1748	1568.74	1566.24	28.1598
F45H10.1a.2	1567	1387.74	460.041	9.34998
F45H10.1b	872	692.74	402.078	16.3705
F13D12.4a.1	1789	1609.74	1.91162	0.0334941
F13D12.4a.2	1828	1648.74	14595.7	249.686
F13D12.4a.3	1840	1660.74	8290.01	140.791
F13D12.4b	1824	1644.74	207.385	3.55633
F01F1.6.1	1832	1652.74	1150.3	19.6303
F01F1.6.2	1952	1772.74	6721.7	106.944
C54D1.4	1656	1476.74	198	3.78167
F42G9.5a	2154	1974.74	1092.04	15.5973
F42G9.5b	1588	1408.74	796.962	15.9562
Y69F12A.2a.1	1587	1407.74	304.121	6.09321
Y69F12A.2a.2	1656	1476.74	1147.24	21.9115
Y69F12A.2b.1	1650	1470.74	1.80821	0.0346765
Y69F12A.2b.2	1719	1539.74	8.83152	0.161775
C01F6.5	772	592.74	736	35.0216
F23B2.6	791	611.74	13023	600.435
M18.7a.1	959	779.74	4469.93	161.686
M18.7a.2	1093	913.74	3470.85	107.136
M18.7b	1139	959.74	534.22	15.6996
F36A4.7	6024	5844.74	14620	70.5512
C05E11.4	1728	1548.74	159	2.89562
F49E11.3	1569	1389.74	4	0.0811799
M195.3	2360	2180.74	36	0.465608
C05E11.5	1883	1703.74	122	2.01966
R13G10.2	2642	2462.74	1438	16.4688
B0019.1	2357	2177.74	173	2.24059
F25C8.2a	1398	1218.74	97	2.24483
F25C8.2b	1131	951.74	0	0
ZK973.6	25871	25691.7	4591	5.04006
