target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1607.74	2804	56.1722
F27C8.1	1940	1760.74	223	4.07914
F07C3.7	1728	1548.74	148	3.07781
F52H2.2	1739	1559.74	612	12.6374
T13A10.10a	1734	1554.74	137.871	2.85611
T13A10.10b	1598	1418.74	18.1289	0.411555
C55C2.5a	1840	1660.74	161	3.12236
C55C2.5b	1606	1426.74	0	0
C55C2.5c	1671	1491.74	0	0
C55C2.5d	1618	1438.74	0	0
T11F9.4a	1765	1585.74	58	1.17803
T11F9.4b.1	1684	1504.74	0	0
T11F9.4b.2	1784	1604.74	5.91035e-07	1.18623e-08
F54D12.3	1503	1323.74	6	0.145985
F28F9.4	1452	1272.74	12	0.303669
Y53H1C.1a	2022	1842.74	1789.28	31.2733
Y53H1C.1b	1958	1778.74	368.338	6.6695
C50F2.9	258	89.9725	4	1.43189
C50F2.10	414	234.752	118	16.1895
F54B8.5	270	98.9477	0	0
Y38H6C.22	381	201.825	0	0
T22H6.5	484	304.74	23	2.43084
T22H6.7	646	466.74	37	2.55321
M79.1a	4081	3901.74	467.349	3.85782
M79.1b	4012	3832.74	560.327	4.7086
M79.1c	3997	3817.74	24.324	0.205205
C24F3.5a	4715	4535.74	19.537	0.13873
C24F3.5b	4726	4546.74	0.462985	0.00327964
F12B6.1a	6670	6490.74	0	0
F12B6.1b	6559	6379.74	355	1.79219
Y39D8C.1	5545	5365.74	701	4.20773
Y53C10A.9	4724	4544.74	12	0.0850416
AC3.3	1403	1223.74	0	0
F19G12.7	1719	1539.74	2	0.0418352
F31A3.1	729	549.74	1	0.0585871
Y5H2A.3	1020	840.74	3.6514	0.13988
Y105C5A.4	1008	828.74	0	0
C03A7.7	1174	994.74	0	0
C03A7.8	1317	1137.74	2.16522	0.0612941
C03A7.14	1525	1345.74	1.83478	0.0439119
R09F10.2	1137	957.74	10	0.336288
F35A5.3	1271	1091.74	0	0
T01D1.6	1273	1093.74	4	0.117789
W09B12.1.1	1984	1804.74	44.5704	0.795411
W09B12.1.2	2525	2345.74	160.43	2.20274
Y44E3A.2	1995	1815.74	156	2.76713
Y48B6A.8	2168	1988.74	34.7748	0.563179
Y48B6A.7	1930	1750.74	1	0.0183966
C42D8.5a	3282	3102.74	28.8292	0.299258
C42D8.5b	1560	1380.74	30.0686	0.701391
ZK455.1	3072	2892.74	4338	48.2991
F54H12.1a	2709	2529.74	28810.5	366.805
F54H12.1b	2365	2185.74	21.0351	0.30996
F54H12.1c.1	2500	2320.74	0.00268575	3.72733e-05
F54H12.1c.2	2562	2382.74	55.4185	0.749096
K11G12.2	1888	1708.74	3	0.0565463
K11G12.7	1660	1480.74	7	0.152257
K03F8.2	1800	1620.74	20	0.397444
ZK973.5	1666	1486.74	6	0.12998
T09A5.3	1692	1512.74	7	0.149037
ZC504.2	1758	1578.74	34	0.69363
C40C9.2	1909	1729.74	3	0.0558598
R02E12.8	1680	1500.74	2	0.0429224
D2092.3	1445	1265.74	29	0.737926
R01E6.4	1926	1746.74	13	0.239703
T05C12.2	1595	1415.74	3	0.0682491
F25G6.4	1506	1326.74	40	0.971032
F25G6.3a	1797	1617.74	80	1.59272
F25G6.3b	2176	1996.74	0	0
F53E10.2a	1359	1179.74	7.82951	0.213751
F53E10.2b	1616	1436.74	41.1705	0.922926
F28F8.1	1617	1437.74	58	1.29929
C31H5.3a	1858	1678.74	10	0.191856
C31H5.3b	1841	1661.74	0	0
R06A4.10a	1702	1522.74	0	0
R06A4.10b	1693	1513.74	0	0
R06A4.10c	1841	1661.74	13	0.251965
F27B3.2	1410	1230.74	8	0.209355
F48E3.7	1435	1255.74	4	0.102593
F59B1.9	1718	1538.74	13	0.272106
T04C12.6.1	1264	1084.74	0	0
T04C12.6.2	1366	1186.74	6420.8	174.258
T04C12.6.3	1346	1166.74	15762.1	435.109
T04C12.6.4	1277	1097.74	19500.2	572.136
T04C12.5.1	1321	1141.74	0	0
T04C12.5.2	1335	1155.74	51149.1	1425.4
T04C12.4.1	1480	1300.74	0	0
T04C12.4.2	1564	1384.74	34187	795.155
T04C12.4.3	1559	1379.74	0	0
M03F4.2a	1672	1492.74	24618	531.164
M03F4.2b.1	1599	1419.74	0	0
M03F4.2b.2	1603	1423.74	27.1724	0.614691
M03F4.2b.3	1606	1426.74	21931.8	495.096
M03F4.2b.4	1596	1416.74	24.7315	0.562236
M03F4.2b.5	1541	1361.74	12.625	0.298605
M03F4.2b.6	1576	1396.74	17.1612	0.395722
M03F4.2c	1633	1453.74	0	0
T25C8.2.1	1343	1163.74	0.123949	0.00343041
T25C8.2.2	1344	1164.74	6761.15	186.961
F17C8.1	4068	3888.74	151	1.25063
C10F3.3	3343	3163.74	15	0.152704
C44F1.5	4064	3884.74	203	1.68304
T01C2.1	3269	3089.74	135	1.40725
F39C12.2a	2213	2033.74	16.1946	0.256468
F39C12.2b	2525	2345.74	163.735	2.24813
F39C12.2c	2428	2248.74	0	0
F39C12.2d	2049	1869.74	0	0
F39C12.2e	2611	2431.74	19.0706	0.252585
F57F5.4a.1	1990	1810.74	315.947	5.61975
F57F5.4a.2	2032	1852.74	176.451	3.0674
F57F5.4b	1052	872.74	177.602	6.55424
C04A11.4	3227	3047.74	1296	13.6958
ZK154.7	2342	2162.74	1037	15.4431
H15N14.1c	3023	2843.74	2500.04	28.3149
H15N14.1d	2851	2671.74	20.4227	0.246194
H15N14.1e	2794	2614.74	1457	17.947
H15N14.1f	3119	2939.74	0	0
H15N14.1g	370	190.895	126.83	21.3987
T20H4.4	1697	1517.74	3181	67.5034
Y50D7A.7	1886	1706.74	2163	40.8177
C02B4.1	4802	4622.74	26	0.181148
F08C6.1a.1	3788	3608.74	360.828	3.22035
F08C6.1a.2	3910	3730.74	248.303	2.14362
F08C6.1b	1163	983.74	244.656	8.01005
F08C6.1c.1	3027	2847.74	308.393	3.48789
F08C6.1c.2	3149	2969.74	191.82	2.08034
D2030.10a	3221	3041.74	155	1.64123
D2030.10b	3222	3042.74	0	0
T14B1.2	1220	1040.74	8	0.247575
C02H7.3a	4574	4394.74	28.9763	0.212358
