target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1377.91	479	36.9075
F27C8.1	1940	1530.91	35	2.42727
F07C3.7	1728	1318.91	85	6.84233
F52H2.2	1739	1329.91	84	6.7059
T13A10.10a	1734	1324.91	107	8.57428
T13A10.10b	1598	1188.91	0	0
C55C2.5a	1840	1430.91	47	3.48727
C55C2.5b	1606	1196.91	0	0
C55C2.5c	1671	1261.91	0	0
C55C2.5d	1618	1208.91	0	0
T11F9.4a	1765	1355.91	0	0
T11F9.4b.1	1684	1274.91	72.2509	6.01678
T11F9.4b.2	1784	1374.91	13.7491	1.06169
F54D12.3	1503	1093.91	2	0.19411
F28F9.4	1452	1042.91	4	0.407205
Y53H1C.1a	2022	1612.91	132.713	8.73578
Y53H1C.1b	1958	1548.91	20.7735	1.42392
C50F2.9	258	95.7506	0	0
C50F2.10	414	150.961	0	0
F54B8.5	270	99.5859	0	0
Y38H6C.22	381	137.955	0	0
T22H6.5	484	182.077	33	19.2424
T22H6.7	646	277.613	84	32.1246
M79.1a	4081	3671.91	0	0
M79.1b	4012	3602.91	0.612433	0.018047
M79.1c	3997	3587.91	155.388	4.59806
C24F3.5a	4715	4305.91	99.6271	2.45647
C24F3.5b	4726	4316.91	3.37287	0.0829517
F12B6.1a	6670	6260.91	56.4046	0.95648
F12B6.1b	6559	6149.91	86.5954	1.49495
Y39D8C.1	5545	5135.91	275	5.68479
Y53C10A.9	4724	4314.91	85	2.09145
AC3.3	1403	993.907	18.0802	1.93133
F19G12.7	1719	1309.91	0	0
F31A3.1	729	340.557	1	0.311752
Y5H2A.3	1020	610.907	0	0
Y105C5A.4	1008	598.907	0	0
C03A7.7	1174	764.907	0	0
C03A7.8	1317	907.907	4.44218	0.519462
C03A7.14	1525	1115.91	4.19478	0.399099
R09F10.2	1137	727.907	7.53597	1.09916
F35A5.3	1271	861.907	9	1.10862
T01D1.6	1273	863.907	1	0.122894
W09B12.1.1	1984	1574.91	0	0
W09B12.1.2	2525	2115.91	28	1.40495
Y44E3A.2	1995	1585.91	4	0.267782
Y48B6A.8	2168	1758.91	7	0.422527
Y48B6A.7	1930	1520.91	3	0.20942
C42D8.5a	3282	2872.91	40.0405	1.47971
C42D8.5b	1560	1150.91	53.9595	4.97768
ZK455.1	3072	2662.91	2637	105.136
F54H12.1a	2709	2299.91	146.831	6.77807
F54H12.1b	2365	1955.91	776.853	42.1686
F54H12.1c.1	2500	2090.91	454.464	23.0762
F54H12.1c.2	2562	2152.91	204.853	10.1022
K11G12.2	1888	1478.91	14	1.00505
K11G12.7	1660	1250.91	6	0.509243
K03F8.2	1800	1390.91	1	0.076331
ZK973.5	1666	1256.91	0	0
T09A5.3	1692	1282.91	21	1.73789
ZC504.2	1758	1348.91	23	1.81028
C40C9.2	1909	1499.91	9	0.637056
R02E12.8	1680	1270.91	4	0.334153
D2092.3	1445	1035.91	23	2.35725
R01E6.4	1926	1516.91	13	0.909879
T05C12.2	1595	1185.91	2	0.179052
F25G6.4	1506	1096.91	50	4.83949
F25G6.3a	1797	1387.91	14.338	1.0968
F25G6.3b	2176	1766.91	4.66202	0.28013
F53E10.2a	1359	949.907	0	0
F53E10.2b	1616	1206.91	7	0.615777
F28F8.1	1617	1207.91	47	4.13108
C31H5.3a	1858	1448.91	9.46996e-07	6.93916e-08
C31H5.3b	1841	1431.91	6	0.444872
R06A4.10a	1702	1292.91	0.00150776	0.000123812
R06A4.10b	1693	1283.91	15.9985	1.32295
R06A4.10c	1841	1431.91	0	0
F27B3.2	1410	1000.91	0	0
F48E3.7	1435	1025.91	14	1.44884
F59B1.9	1718	1308.91	1	0.081113
T04C12.6.1	1264	854.907	0	0
T04C12.6.2	1366	956.907	719.367	79.8142
T04C12.6.3	1346	936.907	11732.6	1329.53
T04C12.6.4	1277	867.907	0	0
T04C12.5.1	1321	911.907	8626.93	1004.4
T04C12.5.2	1335	925.907	1046.3	119.974
T04C12.4.1	1480	1070.91	20316.1	2014.13
T04C12.4.2	1564	1154.91	3868.27	355.606
T04C12.4.3	1559	1149.91	13.4217	1.23921
M03F4.2a	1672	1262.91	27915	2346.74
M03F4.2b.1	1599	1189.91	71.8868	6.4141
M03F4.2b.2	1603	1193.91	50.5556	4.4957
M03F4.2b.3	1606	1196.91	24260.3	2151.96
M03F4.2b.4	1596	1186.91	0.00219856	0.000196662
M03F4.2b.5	1541	1131.91	18847.2	1767.81
M03F4.2b.6	1576	1166.91	0.00421584	0.000383572
M03F4.2c	1633	1223.91	0	0
T25C8.2.1	1343	933.907	1046.53	118.973
T25C8.2.2	1344	934.907	4012.54	455.669
F17C8.1	4068	3658.91	131	3.80119
C10F3.3	3343	2933.91	4	0.144748
C44F1.5	4064	3654.91	84	2.44007
T01C2.1	3269	2859.91	65	2.41302
F39C12.2a	2213	1803.91	4.18469	0.246291
F39C12.2b	2525	2115.91	96.8153	4.85788
F39C12.2c	2428	2018.91	0	0
F39C12.2d	2049	1639.91	0	0
F39C12.2e	2611	2201.91	0	0
F57F5.4a.1	1990	1580.91	40.4496	2.71649
F57F5.4a.2	2032	1622.91	0	0
F57F5.4b	1052	642.907	105.55	17.4305
C04A11.4	3227	2817.91	112	4.21979
ZK154.7	2342	1932.91	92	5.05331
H15N14.1c	3023	2613.91	165.112	6.70638
H15N14.1d	2851	2441.91	456.305	19.8392
H15N14.1e	2794	2384.91	0	0
H15N14.1f	3119	2709.91	12.4543	0.487938
