target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1607.74	2894	56.4029
F27C8.1	1940	1760.74	171	3.04312
F07C3.7	1728	1548.74	81	1.6388
F52H2.2	1739	1559.74	553	11.1094
T13A10.10a	1734	1554.74	202	4.0711
T13A10.10b	1598	1418.74	0	0
C55C2.5a	1840	1660.74	7.48081	0.141145
C55C2.5b	1606	1426.74	23.4669	0.515381
C55C2.5c	1671	1491.74	7.99449	0.167925
C55C2.5d	1618	1438.74	15.0578	0.327943
T11F9.4a	1765	1585.74	0	0
T11F9.4b.1	1684	1504.74	121.81	2.53654
T11F9.4b.2	1784	1604.74	64.1896	1.25337
F54D12.3	1503	1323.74	3	0.0710128
F28F9.4	1452	1272.74	29	0.713965
Y53H1C.1a	2022	1842.74	1757.27	29.8808
Y53H1C.1b	1958	1778.74	132.235	2.32944
C50F2.9	258	89.9725	4	1.39306
C50F2.10	414	234.752	140	18.6869
F54B8.5	270	98.9477	0	0
Y38H6C.22	381	201.825	0	0
T22H6.5	484	304.74	2	0.205645
T22H6.7	646	466.74	2	0.134268
M79.1a	4081	3901.74	641.092	5.1485
M79.1b	4012	3832.74	14.9076	0.121875
M79.1c	3997	3817.74	0	0
C24F3.5a	4715	4535.74	5.71837	0.0395041
C24F3.5b	4726	4546.74	0.281628	0.00194086
F12B6.1a	6670	6490.74	116.927	0.564466
F12B6.1b	6559	6379.74	59.0734	0.29014
Y39D8C.1	5545	5365.74	572	3.34029
Y53C10A.9	4724	4544.74	9	0.0620514
AC3.3	1403	1223.74	0	0
F19G12.7	1719	1539.74	0	0
F31A3.1	729	549.74	0	0
Y5H2A.3	1020	840.74	1	0.0372698
Y105C5A.4	1008	828.74	0	0
C03A7.7	1174	994.74	1	0.0314999
C03A7.8	1317	1137.74	0	0
C03A7.14	1525	1345.74	0	0
R09F10.2	1137	957.74	4.86348	0.159118
F35A5.3	1271	1091.74	0	0
T01D1.6	1273	1093.74	8	0.229189
W09B12.1.1	1984	1804.74	2.87764	0.049962
W09B12.1.2	2525	2345.74	247.122	3.30104
Y44E3A.2	1995	1815.74	111	1.91552
Y48B6A.8	2168	1988.74	20.6628	0.32556
Y48B6A.7	1930	1750.74	0	0
C42D8.5a	3282	3102.74	46.8474	0.473106
C42D8.5b	1560	1380.74	17.664	0.400862
ZK455.1	3072	2892.74	4597	49.7947
F54H12.1a	2709	2529.74	19817.1	245.461
F54H12.1b	2365	2185.74	58.1736	0.833961
F54H12.1c.1	2500	2320.74	396.76	5.35698
F54H12.1c.2	2562	2382.74	0.00089666	1.17915e-05
K11G12.2	1888	1708.74	0	0
K11G12.7	1660	1480.74	4	0.0846447
K03F8.2	1800	1620.74	22	0.425332
ZK973.5	1666	1486.74	1	0.0210758
T09A5.3	1692	1512.74	3	0.0621406
ZC504.2	1758	1578.74	7	0.138933
C40C9.2	1909	1729.74	9	0.163035
R02E12.8	1680	1500.74	4	0.0835166
D2092.3	1445	1265.74	41	1.01498
R01E6.4	1926	1746.74	15	0.26908
T05C12.2	1595	1415.74	2	0.0442654
F25G6.4	1506	1326.74	23	0.543201
F25G6.3a	1797	1617.74	44	0.852241
F25G6.3b	2176	1996.74	0	0
F53E10.2a	1359	1179.74	15.9867	0.424612
F53E10.2b	1616	1436.74	12.0133	0.262
F28F8.1	1617	1437.74	53	1.15508
C31H5.3a	1858	1678.74	1.92149e-05	3.58651e-07
C31H5.3b	1841	1661.74	5.99998	0.113137
R06A4.10a	1702	1522.74	0.000630466	1.29734e-05
R06A4.10b	1693	1513.74	0.99937	0.0206868
R06A4.10c	1841	1661.74	0	0
F27B3.2	1410	1230.74	5	0.127298
F48E3.7	1435	1255.74	0	0
F59B1.9	1718	1538.74	1	0.0203635
T04C12.6.1	1264	1084.74	0	0
T04C12.6.2	1366	1186.74	138.286	3.65124
T04C12.6.3	1346	1166.74	10152.9	272.668
T04C12.6.4	1277	1097.74	16513.1	471.354
T04C12.5.1	1321	1141.74	0.000221721	6.08497e-06
T04C12.5.2	1335	1155.74	45267.2	1227.27
T04C12.4.1	1480	1300.74	5776.45	139.152
T04C12.4.2	1564	1384.74	12478.9	282.374
T04C12.4.3	1559	1379.74	0	0
M03F4.2a	1672	1492.74	3980.64	83.5578
M03F4.2b.1	1599	1419.74	0	0
M03F4.2b.2	1603	1423.74	0	0
M03F4.2b.3	1606	1426.74	27624.7	606.696
M03F4.2b.4	1596	1416.74	0	0
M03F4.2b.5	1541	1361.74	20.9181	0.481335
M03F4.2b.6	1576	1396.74	0	0
M03F4.2c	1633	1453.74	0	0
T25C8.2.1	1343	1163.74	0.71305	0.0191992
T25C8.2.2	1344	1164.74	12737.3	342.662
F17C8.1	4068	3888.74	142	1.14419
C10F3.3	3343	3163.74	13	0.128754
C44F1.5	4064	3884.74	140	1.12924
T01C2.1	3269	3089.74	332	3.36693
F39C12.2a	2213	2033.74	0	0
F39C12.2b	2525	2345.74	151	2.01704
F39C12.2c	2428	2248.74	0	0
F39C12.2d	2049	1869.74	0	0
F39C12.2e	2611	2431.74	0	0
F57F5.4a.1	1990	1810.74	293.425	5.07761
F57F5.4a.2	2032	1852.74	132.339	2.23816
F57F5.4b	1052	872.74	216.237	7.76359
C04A11.4	3227	3047.74	892	9.17076
